name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_pct
NEW GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS,stores,Amazon Fashion,0.0,0.0,599.0,1999.0,70.04
Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 ...,stores,Amazon Fashion,4.3,12324.0,448.0,1199.0,62.64
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant (Pustak Blue),stores,Amazon Fashion,4.0,37.0,435.0,2599.0,83.26
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...",stores,Amazon Fashion,4.3,7500.0,413.0,486.0,15.02
Titan Karishma Revive Analog Silver Dial Women's Watch-NL2594BM01,stores,Amazon Fashion,4.3,1169.0,1995.0,1995.0,0.0
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),stores,Amazon Fashion,4.4,732.0,145.0,185.0,21.62
Sukkhi Exotic Kundan Gold Plated Wedding Jewellery Choker Necklace Set for Women (N73524),stores,Amazon Fashion,3.7,1898.0,167.0,2845.0,94.13
PRO Creme Luxe Smooth Leather Shoe Moisturizer Cream I 150 ML,stores,Amazon Fashion,4.3,582.0,325.0,325.0,0.0
G 1 Garbage Bags | Dustbin Bags | Trash Bags | Medium | 19x21 inches | Pack of 3 | Black | 30 Bags Per Pack,stores,Amazon Fashion,4.2,5190.0,190.0,375.0,49.33
VLCC Almond Honey Deep Nourishing Skin Brightening Body Lotion (700ml) (Each 350ml) Buy 1 Get 1 Free,stores,Amazon Fashion,4.1,19709.0,235.0,350.0,32.86
SHOPPY VILLA WITH SV LOGO Women Camisole (Comi-Secret_Multicolour_Free Size),stores,Amazon Fashion,4.1,1086.0,279.0,499.0,44.09
TIMEX Analog Women's Watch (Dial Colored Strap),stores,Amazon Fashion,4.4,3984.0,2149.0,3695.0,41.84
ZAVERI PEARLS Ethnic Kundan & Pearls Multi Layers Bridal Necklace Set For Women-ZPFK8689,stores,Amazon Fashion,4.0,1443.0,348.0,3160.0,88.99
BATA womens Ortho Lds Slipper,stores,Amazon Fashion,4.1,828.0,323.0,599.0,46.08
Kuber Industries Brocade Jewellery kit with 10 Pouch|Solid Print With Waterproof Outer Material|10 Pouches & Zipper Closur...,stores,Amazon Fashion,4.1,1981.0,417.0,499.0,16.43
Sonata Analog Multicolor Small Dial Men's Watch -NM7987SL01W / NL7987SL01W,stores,Amazon Fashion,3.9,4264.0,550.0,550.0,0.0
Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Waterproof USB Anti Theft ...,stores,Amazon Fashion,4.3,1370.0,2849.0,2849.0,0.0
TCCO ENTERPRISE Natural Sneaker & Shoe Cleaner Wipes - 1 Packs of 80 - Portable Sneakers Cleaner Shoe Wipes Quickly Remove...,stores,Amazon Fashion,4.5,61.0,397.0,999.0,60.26
"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas,...",stores,Amazon Fashion,4.4,7682.0,186.0,225.0,17.33
"LAKMÉ Absolute Shine Liquid Eye Liner Glossy Finish, Black, 4.5ml",stores,Amazon Fashion,4.2,7438.0,343.0,450.0,23.78
Extra Issue Pratiyogita Darpan Exam. Oriented Series - 4 General Studies Indian Polity & Governance,stores,Amazon Fashion,4.4,29.0,205.0,205.0,0.0
Jewels Galaxy Jewellery For Women Stackable Rings Set,stores,Amazon Fashion,3.8,22.0,261.0,1999.0,86.94
Fastrack Reflex Hello Smart Watch with BT Calling|Bright HD Display|AI Voice Assistant|50+ Sports Modes|100+ Watchfaces|BP...,stores,Amazon Fashion,3.8,513.0,3995.0,5995.0,33.36
"ESnipe Mart Worldwide Travel Adapter with Build in Charger Dual USB Ports with 125V 6A,250V Electrical Protected Plug (White)",stores,Amazon Fashion,4.0,2699.0,425.0,999.0,57.46
"ZooY Smarty 2 in 1 Soap Dispenser for Dishwasher Liquid Holder , Liquid Dispenser Through Pump ( Multi-Color , 400 ML) wit...",stores,Amazon Fashion,3.8,16768.0,149.0,149.0,0.0
Red Tape Men's Walking Shoes,stores,Amazon Fashion,4.0,439.0,1699.0,6799.0,75.01
